district,province,latitude,longitude,status
Attock,Punjab,33.7695323,72.3610911,ok
Bahawalnagar,Punjab,29.9935922,73.2527621,ok
Bahawalpur,Punjab,29.394644,71.6638747,ok
Bhakkar,Punjab,31.6303103,71.0676914,ok
Chakwal,Punjab,32.932827,72.8629763,ok
Chiniot,Punjab,31.7309524,72.9834213,ok
Dera Ghazi Khan,Punjab,30.0321374,70.6401114,ok
Faisalabad,Punjab,31.4220558,73.0923253,ok
Gujranwala,Punjab,32.1525312,74.1933745,ok
Gujrat,Punjab,32.5686782,74.071481,ok
Hafizabad,Punjab,32.0719134,73.6884523,ok
Jhang,Punjab,31.2728805,72.3103071,ok
Jhelum,Punjab,32.9247256,73.719388,ok
Kasur,Punjab,31.1175143,74.4478314,ok
Khanewal,Punjab,30.3022528,71.9278916,ok
Khushab,Punjab,32.2903666,72.3515792,ok
Lahore,Punjab,31.5656822,74.3141829,ok
Layyah,Punjab,30.964868,70.9455995,ok
Lodhran,Punjab,29.5390395,71.6344196,ok
Mandi Bahauddin,Punjab,32.5846351,73.4914169,ok
Mianwali,Punjab,32.5705533,71.5239763,ok
Multan,Punjab,30.197838,71.4719683,ok
Muzaffargarh,Punjab,30.0743097,71.1906224,ok
Nankana Sahib,Punjab,31.4548712,73.7090967,ok
Narowal,Punjab,32.1009752,74.872238,ok
Okara,Punjab,30.8091281,73.4493301,ok
Pakpattan,Punjab,30.3422503,73.3891875,ok
Rahim Yar Khan,Punjab,28.417607,70.3036512,ok
Rajanpur,Punjab,29.1002249,70.3377049,ok
Rawalpindi,Punjab,33.5915446,73.053721,ok
Sahiwal,Punjab,30.6715098,73.1110572,ok
Sargodha,Punjab,32.0836514,72.676461,ok
Sheikhupura,Punjab,31.7085285,73.9864014,ok
Sialkot,Punjab,32.4935378,74.5411575,ok
Toba Tek Singh,Punjab,30.9777056,72.4860799,ok
Vehari,Punjab,30.0480417,72.3563519,ok
Talagang,Punjab,32.9235108,72.4139769,ok
Murree,Punjab,33.9056829,73.392674,ok
Taunsa,Punjab,30.5130607,70.8496423,ok
Kot Addu,Punjab,30.4692602,70.9678776,ok
Wazirabad,Punjab,32.4417427,74.1182117,ok
Badin,Sindh,24.6622996,68.8383651,ok
Dadu,Sindh,26.7274836,67.7804974,ok
Ghotki,Sindh,27.9939917,69.3134549,ok
Hyderabad,Sindh,25.4075358,68.3613456,ok
Jacobabad,Sindh,28.2813094,68.4364361,ok
Jamshoro,Sindh,25.4152977,68.3506796,ok
Karachi Central,Sindh,24.8343554,67.0480988,ok
Karachi East,Sindh,24.8381531,67.067704,ok
Karachi South,Sindh,24.8667576,67.0173066,ok
Karachi West,Sindh,24.8745377,67.0185934,ok
Kashmore,Sindh,28.4322915,69.5814755,ok
Keamari,Sindh,24.821889,66.9840531,ok
Khairpur,Sindh,27.5204873,68.7383149,ok
Korangi,Sindh,24.8206928,67.1403735,ok
Larkana,Sindh,27.5564798,68.2101509,ok
Malir,Sindh,24.8959185,67.1969187,ok
Matiari,Sindh,25.597916,68.4422804,ok
Mirpur Khas,Sindh,25.5263882,69.0112387,ok
Naushahro Feroze,Sindh,26.8561567,68.120881,ok
Sanghar,Sindh,26.0470447,68.9492402,ok
Shaheed Benazirabad,Sindh,26.3175255,68.3082908,ok
Shikarpur,Sindh,27.9577983,68.6465513,ok
Sujawal,Sindh,27.9618248,68.0521873,ok
Sukkur,Sindh,27.7004292,68.8664623,ok
Tando Allahyar,Sindh,25.4619907,68.7198264,ok
Tando Muhammad Khan,Sindh,25.1233226,68.5335594,ok
Tharparkar,Sindh,25.684084,69.0778399,ok
Thatta,Sindh,24.8552533,67.212909,ok
Umerkot,Sindh,25.3637176,69.7339569,ok
Abbottabad,Khyber Pakhtunkhwa,34.1436136,73.2132747,ok
Allai,Khyber Pakhtunkhwa,34.8298599,73.0613989,ok
Battagram,Khyber Pakhtunkhwa,34.6785555,73.0281188,ok
Haripur,Khyber Pakhtunkhwa,33.9944889,72.9331737,ok
Kolai Palas,Khyber Pakhtunkhwa,35.066544,73.249767,ok
Torghar,Khyber Pakhtunkhwa,34.5306013,72.8490411,ok
Upper Kohistan,Khyber Pakhtunkhwa,35.4319364,73.2430308,ok
Lower Kohistan,Khyber Pakhtunkhwa,35.1518949,72.9256871,ok
Mansehra,Khyber Pakhtunkhwa,34.3286855,73.1993125,ok
Hangu,Khyber Pakhtunkhwa,33.527996,71.0575407,ok
Karak,Khyber Pakhtunkhwa,33.1160464,71.0950863,ok
Kohat,Khyber Pakhtunkhwa,33.5967144,71.4399944,ok
Kurram,Khyber Pakhtunkhwa,33.6888492,70.3855522,ok
